PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
T2MDEW,2023,12.35,12.26,13.54,13.96,14.05,12.79,13.22,12.67,13.3,13.45,13.95,14.59,13.35,Chapinero,4.6704,-74.04338
T2MDEW,2024,12.87,14.05,14.57,14.18,14.63,13.7,13.26,12.7,13.03,13.58,14.17,14.25,13.75,Chapinero,4.6704,-74.04338
T2MWET,2020,14.47,14.44,14.82,15.15,14.83,13.79,13.46,13.98,14.0,13.89,15.21,14.84,14.41,Chapinero,4.6704,-74.04338
T2MWET,2021,13.61,14.59,14.41,14.72,14.82,13.91,13.75,13.99,13.85,15.06,14.87,15.04,14.38,Chapinero,4.6704,-74.04338
T2MWET,2022,13.96,14.2,14.8,14.56,14.29,13.66,13.45,13.28,13.86,14.61,14.97,13.89,14.13,Chapinero,4.6704,-74.04338
T2MWET,2023,13.43,13.63,14.65,14.9,14.99,13.75,14.11,13.9,14.62,14.78,15.0,15.45,14.44,Chapinero,4.6704,-74.04338
T2MWET,2024,14.41,15.57,16.01,15.47,15.51,14.56,14.11,13.95,14.57,14.9,15.13,15.2,14.95,Chapinero,4.6704,-74.04338
T2M_MAX,2020,22.17,22.77,23.43,22.05,21.4,19.81,19.69,20.74,21.58,23.53,22.78,22.65,23.53,Chapinero,4.6704,-74.04338
T2M_MAX,2021,22.64,22.24,21.98,21.19,21.9,21.49,20.72,22.38,22.55,23.46,22.02,23.07,23.46,Chapinero,4.6704,-74.04338
T2M_MAX,2022,24.48,23.72,22.26,21.18,20.56,20.16,19.69,19.9,21.21,21.45,21.22,21.14,24.48,Chapinero,4.6704,-74.04338
T2M_MAX,2023,20.83,21.52,21.46,20.9,22.13,19.88,20.53,21.11,22.54,22.53,21.97,21.66,22.54,Chapinero,4.6704,-74.04338
T2M_MAX,2024,23.63,24.63,23.75,22.59,22.33,20.46,20.51,21.18,22.4,22.83,21.9,21.92,24.63,Chapinero,4.6704,-74.04338
T2M_MIN,2020,8.87,8.77,9.4,11.42,10.76,9.48,9.62,9.41,9.83,9.49,11.7,10.28,8.77,Chapinero,4.6704,-74.04338
T2M_MIN,2021,8.79,11.26,10.21,10.91,10.53,8.96,9.34,9.65,9.39,11.22,11.32,11.78,8.79,Chapinero,4.6704,-74.04338
T2M_MIN,2022,10.75,10.93,11.75,10.59,10.57,9.56,9.78,8.92,10.41,9.91,11.64,8.21,8.21,Chapinero,4.6704,-74.04338
T2M_MIN,2023,7.28,7.78,11.98,10.8,10.98,9.87,10.44,9.08,10.8,10.15,11.27,10.84,7.28,Chapinero,4.6704,-74.04338
T2M_MIN,2024,9.58,11.78,11.01,10.98,12.23,10.39,9.17,9.54,10.92,10.49,9.72,10.66,9.17,Chapinero,4.6704,-74.04338
T2M_RANGE,2020,8.22,8.99,8.26,7.48,7.11,7.22,7.09,7.44,8.2,8.44,7.08,8.38,7.82,Chapinero,4.6704,-74.04338
T2M_RANGE,2021,9.31,8.48,7.49,7.3,7.17,7.83,7.76,8.89,9.26,8.36,7.53,8.45,8.15,Chapinero,4.6704,-74.04338
T2M_RANGE,2022,9.48,8.44,7.12,7.31,6.97,7.19,7.41,7.95,8.23,7.31,6.46,7.91,7.65,Chapinero,4.6704,-74.04338
T2M_RANGE,2023,7.52,8.84,6.8,6.44,7.06,7.33,6.96,8.38,8.42,8.08,6.88,6.81,7.45,Chapinero,4.6704,-74.04338
T2M_RANGE,2024,9.39,8.7,8.16,7.94,6.86,6.98,6.95,8.11,8.57,8.07,6.66,7.04,7.78,Chapinero,4.6704,-74.04338
TS,2020,16.1,16.54,16.83,16.61,16.05,14.98,14.57,15.22,15.46,15.51,16.63,16.69,15.93,Chapinero,4.6704,-74.04338
TS,2021,15.43,16.43,16.19,16.25,16.41,15.45,15.41,16.16,16.19,16.91,16.61,17.3,16.23,Chapinero,4.6704,-74.04338
TS,2022,16.99,16.71,16.38,15.98,15.49,14.87,14.62,14.62,15.34,15.93,16.07,15.31,15.69,Chapinero,4.6704,-74.04338
TS,2023,14.8,15.51,16.06,16.06,16.16,14.9,15.27,15.29,16.12,16.11,16.18,16.48,15.75,Chapinero,4.6704,-74.04338
TS,2024,16.21,17.47,17.86,17.16,16.63,15.65,15.23,15.45,16.35,16.42,16.12,16.42,16.41,Chapinero,4.6704,-74.04338
PS,2020,79.58,79.59,79.57,79.63,79.69,79.69,79.64,79.62,79.6,79.54,79.47,79.47,79.59,Chapinero,4.6704,-74.04338
PS,2021,79.49,79.47,79.48,79.53,79.63,79.68,79.73,79.67,79.66,79.55,79.49,79.47,79.57,Chapinero,4.6704,-74.04338
PS,2022,79.5,79.47,79.49,79.51,79.65,79.62,79.67,79.66,79.61,79.54,79.48,79.47,79.56,Chapinero,4.6704,-74.04338
PS,2023,79.55,79.54,79.54,79.51,79.64,79.72,79.73,79.69,79.62,79.56,79.52,79.52,79.6,Chapinero,4.6704,-74.04338
PS,2024,79.64,79.6,79.6,79.6,79.63,79.69,79.73,79.74,79.63,79.6,79.49,79.5,79.62,Chapinero,4.6704,-74.04338
WD10M,2020,88.9,90.4,89.8,107.4,105.6,103.4,103.5,108.8,111.8,107.1,125.9,98.5,102.0,Chapinero,4.6704,-74.04338
WD10M,2021,89.9,93.0,100.3,107.5,107.5,105.7,109.1,114.5,110.8,114.3,96.0,91.7,104.1,Chapinero,4.6704,-74.04338
WD10M,2022,90.3,93.5,97.6,107.8,106.1,106.8,101.0,107.6,115.7,108.2,117.0,94.1,103.3,Chapinero,4.6704,-74.04338
WD10M,2023,92.1,90.3,101.7,110.6,109.0,107.4,104.9,104.8,104.9,112.4,102.7,100.0,103.2,Chapinero,4.6704,-74.04338
WD10M,2024,82.9,97.2,98.8,98.2,109.6,106.1,114.0,108.8,112.3,107.8,102.5,101.6,103.6,Chapinero,4.6704,-74.04338
WD2M,2020,94.1,95.5,95.2,108.8,107.3,105.7,105.6,110.5,114.0,110.1,128.7,100.9,105.1,Chapinero,4.6704,-74.04338
