config_id,train_years,validation_year,n_train,n_validation,metrics_scale,objective,eval_metric,random_state,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,MAE,RMSE,R2,n_registros
33,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,1.0,1.4531523589150557,2.089357067637822,0.04109511021265344,114
34,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,5.0,1.2588210505543453,1.815251544989665,0.03964190125997813,114
34,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,5.0,1.4357065568670042,2.408444858952483,-0.14025022803033393,114
34,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,0.8,0.8,0.0,5.0,1.447568466242076,2.088992847495758,0.0414293968115903,114
35,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,1.0,1.2383500911669574,1.8436828204092117,0.009323204133528495,114
35,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,1.0,1.4763543580834404,2.428460525848763,-0.15928135073793404,114
35,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,1.0,1.481013668068993,2.084694143855564,0.045370407212973474,114
36,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,5.0,1.2573379700058076,1.8113829730783333,0.04373087233151185,114
36,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,5.0,1.45746020107945,2.411137424947847,-0.14280118133282382,114
36,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,1,1.0,0.8,0.0,5.0,1.4807055442931425,2.0857939852106138,0.044362855988672734,114
37,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,1.0,1.238998225584694,1.8418098412858284,0.01133501921961122,114
37,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,1.0,1.4372592763049363,2.395300333100641,-0.12783794585267372,114
37,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,1.0,1.4566716261481096,2.087956789905599,0.042379987018450804,114
38,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,5.0,1.253658282783469,1.8215163424668017,0.03300168547568938,114
38,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,5.0,1.451421542161424,2.42082354062341,-0.1520014354066117,114
38,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,0.8,0.8,0.0,5.0,1.455528049591471,2.08874392594879,0.04165782714016253,114
39,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,1.0,1.2307299345520883,1.8415807763579968,0.01158092342156869,114
39,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,1.0,1.4752257263577944,2.419061793404376,-0.15032531420494566,114
39,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,1.0,1.4936530491192055,2.0852773800924753,0.04483617780807547,114
40,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,5.0,1.2510500079148497,1.811147395855099,0.043979589008393716,114
40,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,5.0,1.4814088537819152,2.4305575825415136,-0.16128437145682284,114
40,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,3,3,1.0,0.8,0.0,5.0,1.4840112985325173,2.0838401359659446,0.046152386879297236,114
41,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,1.0,1.2388927548850532,1.8398742713258833,0.01341191627069005,114
41,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,1.0,1.443007397579676,2.3955269307928573,-0.1280513450331946,114
41,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,1.0,1.4485677202190879,2.089463904810611,0.040997042430713004,114
42,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,5.0,1.2603958432989297,1.8198371549933174,0.034783742514480354,114
42,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,5.0,1.4278886789353822,2.396158060384983,-0.12864581997852964,114
42,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,0.8,0.8,0.0,5.0,1.4339968741184652,2.0912442622777503,0.03936208193560875,114
43,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,1.0,1.2521384087634344,1.816908983184699,0.03788736660653669,114
43,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,1.0,1.481369188537751,2.3993050106778306,-0.131612339335607,114
43,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,1.0,1.5641425103596154,2.10085283854124,0.03051417440298876,114
44,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,5.0,1.2589465964465951,1.8112006624993522,0.04392335421701654,114
44,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,5.0,1.4369563693298775,2.350277443214337,-0.08583795308136799,114
44,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,1,1.0,0.8,0.0,5.0,1.566251744794512,2.1008330670662247,0.030532422301394413,114
45,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,1.0,1.2407098141419108,1.8362385087268118,0.017307243237947967,114
45,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,1.0,1.4491682795089873,2.3999837885569226,-0.1322527098363917,114
45,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,1.0,1.4403107620928632,2.0917982674267415,0.03885303681200236,114
46,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,5.0,1.255210839473886,1.8218222310735726,0.03267688069989061,114
46,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,5.0,1.4527666495913298,2.4141209419630183,-0.14563111231547787,114
46,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,0.8,0.8,0.0,5.0,1.4418755690058485,2.0888702727351047,0.04154188462144892,114
47,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,1.0,1.2483208086470392,1.8234115082002935,0.03098844476240825,114
47,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,1.0,1.4756819722119527,2.3896676669374437,-0.12253985010741797,114
47,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,1.0,1.5585746301274233,2.1003476822184015,0.03098034985875686,114
48,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,5.0,1.2475781460810267,1.810963161762869,0.044174076320383504,114
48,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,5.0,1.4857515229133493,2.3935635942542346,-0.12620303616245532,114
48,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.03,4,3,1.0,0.8,0.0,5.0,1.5745442608671032,2.10469298832592,0.02696668804318003,114
49,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,1.0,1.2470284459794145,1.83841021685091,0.014981419180048472,114
49,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,1.0,1.432788241336204,2.384878812773307,-0.1180452558810201,114
49,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,1.0,1.479537255934614,2.093400132510316,0.03738041175494544,114
50,2020,2021,114,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,5.0,1.2588874534105676,1.8042603656304945,0.05123645073411365,114
50,"2020,2021",2022,228,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,5.0,1.4489534519190528,2.4175136818708904,-0.14885345262850458,114
50,"2020,2021,2022",2023,342,114,original_expm1,reg:squarederror,rmse,42,200,0.05,3,1,0.8,0.8,0.0,5.0,1.4742693567477159,2.0901655421416696,0.04035287217385075,114
