localidad,ano,bimestre,valor_real,prediccion,error,error_absoluto,modelo
RAFAEL URIBE URIBE,2024,4,10.20627413127413,11.413461,-1.2071866002322178,1.2071866002322178,XGBoost_sin_latitud_longitud
SAN CRISTOBAL,2024,4,10.02104904936178,11.413461,-1.3924116821445676,1.3924116821445676,XGBoost_sin_latitud_longitud
SANTA FE,2024,4,10.32593501081395,11.413461,-1.0875257206923976,1.0875257206923976,XGBoost_sin_latitud_longitud
SUBA,2024,4,9.056744624659656,10.188514,-1.1317691311386842,1.1317691311386842,XGBoost_sin_latitud_longitud
TEUSAQUILLO,2024,4,9.62754204145483,11.413461,-1.785918690051517,1.785918690051517,XGBoost_sin_latitud_longitud
TUNJUELITO,2024,4,12.61263666412408,11.413461,1.1991759326177327,1.1991759326177327,XGBoost_sin_latitud_longitud
USAQUEN,2024,4,9.978706683631463,11.219819,-1.2411123852772281,1.2411123852772281,XGBoost_sin_latitud_longitud
USME,2024,4,9.576611452188043,11.413461,-1.8368492793183044,1.8368492793183044,XGBoost_sin_latitud_longitud
ANTONIO NARINO,2024,5,8.814745075318656,12.666634,-3.8518885306383748,3.8518885306383748,XGBoost_sin_latitud_longitud
BARRIOS UNIDOS,2024,5,9.724489795918366,12.666634,-2.942143810038665,2.942143810038665,XGBoost_sin_latitud_longitud
BOSA,2024,5,8.627833355159394,12.666634,-4.038800250797637,4.038800250797637,XGBoost_sin_latitud_longitud
CHAPINERO,2024,5,10.015843023255812,11.092981,-1.0771383152451648,1.0771383152451648,XGBoost_sin_latitud_longitud
CIUDAD BOLIVAR,2024,5,9.012294659957577,12.666634,-3.654338945999454,3.654338945999454,XGBoost_sin_latitud_longitud
ENGATIVA,2024,5,8.938284004793475,12.666634,-3.728349601163556,3.728349601163556,XGBoost_sin_latitud_longitud
FONTIBON,2024,5,11.564809522720859,12.666634,-1.1018240832361723,1.1018240832361723,XGBoost_sin_latitud_longitud
KENNEDY,2024,5,9.386469851469174,12.666634,-3.280163754487857,3.280163754487857,XGBoost_sin_latitud_longitud
LA CANDELARIA,2024,5,11.609347826086962,12.666634,-1.0572857798700692,1.0572857798700692,XGBoost_sin_latitud_longitud
LOS MARTIRES,2024,5,8.996991706867583,12.666634,-3.6696418990894486,3.6696418990894486,XGBoost_sin_latitud_longitud
PUENTE ARANDA,2024,5,13.672493614303958,12.666634,1.005860008346927,1.005860008346927,XGBoost_sin_latitud_longitud
RAFAEL URIBE URIBE,2024,5,9.643767754451602,12.666634,-3.022865851505429,3.022865851505429,XGBoost_sin_latitud_longitud
SAN CRISTOBAL,2024,5,8.892466507714186,12.666634,-3.7741670982428452,3.7741670982428452,XGBoost_sin_latitud_longitud
SANTA FE,2024,5,10.029968744254461,12.666634,-2.6366648617025703,2.6366648617025703,XGBoost_sin_latitud_longitud
SUBA,2024,5,8.851618714825339,10.062048,-1.2104292435486848,1.2104292435486848,XGBoost_sin_latitud_longitud
TEUSAQUILLO,2024,5,9.34373867216909,12.666634,-3.322894933787941,3.322894933787941,XGBoost_sin_latitud_longitud
