modelo,tipo,localidad,año,BIMESTRE,id_registro_v11,valor_real,prediccion,error,error_absoluto,regla_utilizada
Baseline - media histÃ³rica global,baseline,KENNEDY,2024,1,463,10.40674106126167,11.544158034427008,-1.1374169731653385,1.1374169731653385,media_global
Baseline - media histÃ³rica global,baseline,LA CANDELARIA,2024,1,464,18.42308750687947,11.544158034427008,6.878929472452461,6.878929472452461,media_global
Baseline - media histÃ³rica global,baseline,LOS MARTIRES,2024,1,465,11.44132693092301,11.544158034427008,-0.10283110350399838,0.10283110350399838,media_global
Baseline - media histÃ³rica global,baseline,PUENTE ARANDA,2024,1,466,14.17890474177814,11.544158034427008,2.634746707351132,2.634746707351132,media_global
Baseline - media histÃ³rica global,baseline,RAFAEL URIBE URIBE,2024,1,467,11.25309454219407,11.544158034427008,-0.29106349223293826,0.29106349223293826,media_global
Baseline - media histÃ³rica global,baseline,SAN CRISTOBAL,2024,1,468,10.7858811420906,11.544158034427008,-0.7582768923364078,0.7582768923364078,media_global
Baseline - media histÃ³rica global,baseline,SANTA FE,2024,1,469,11.30923158312392,11.544158034427008,-0.23492645130308887,0.23492645130308887,media_global
Baseline - media histÃ³rica global,baseline,SUBA,2024,1,470,9.987513167557339,11.544158034427008,-1.5566448668696697,1.5566448668696697,media_global
Baseline - media histÃ³rica global,baseline,TEUSAQUILLO,2024,1,471,10.69041653176424,11.544158034427008,-0.8537415026627677,0.8537415026627677,media_global
Baseline - media histÃ³rica global,baseline,TUNJUELITO,2024,1,472,14.10489740983877,11.544158034427008,2.560739375411762,2.560739375411762,media_global
Baseline - media histÃ³rica global,baseline,USAQUEN,2024,1,473,10.73710961691586,11.544158034427008,-0.8070484175111474,0.8070484175111474,media_global
Baseline - media histÃ³rica global,baseline,USME,2024,1,474,10.26438647825673,11.544158034427008,-1.279771556170278,1.279771556170278,media_global
Baseline - media histÃ³rica global,baseline,ANTONIO NARINO,2024,2,475,10.88908052371945,11.544158034427008,-0.6550775107075584,0.6550775107075584,media_global
Baseline - media histÃ³rica global,baseline,BARRIOS UNIDOS,2024,2,476,10.73237917406911,11.544158034427008,-0.811778860357899,0.811778860357899,media_global
Baseline - media histÃ³rica global,baseline,BOSA,2024,2,477,9.56465808490901,11.544158034427008,-1.979499949517999,1.979499949517999,media_global
Baseline - media histÃ³rica global,baseline,CHAPINERO,2024,2,478,10.68563335987662,11.544158034427008,-0.8585246745503881,0.8585246745503881,media_global
Baseline - media histÃ³rica global,baseline,CIUDAD BOLIVAR,2024,2,479,11.00048376971085,11.544158034427008,-0.5436742647161577,0.5436742647161577,media_global
Baseline - media histÃ³rica global,baseline,ENGATIVA,2024,2,480,10.37749758613791,11.544158034427008,-1.1666604482890985,1.1666604482890985,media_global
Baseline - media histÃ³rica global,baseline,FONTIBON,2024,2,481,12.38930801956865,11.544158034427008,0.8451499851416422,0.8451499851416422,media_global
Baseline - media histÃ³rica global,baseline,KENNEDY,2024,2,482,10.28940351933042,11.544158034427008,-1.2547545150965878,1.2547545150965878,media_global
Baseline - media histÃ³rica global,baseline,LA CANDELARIA,2024,2,483,16.84900206469374,11.544158034427008,5.304844030266731,5.304844030266731,media_global
Baseline - media histÃ³rica global,baseline,LOS MARTIRES,2024,2,484,11.31006498554149,11.544158034427008,-0.23409304888551752,0.23409304888551752,media_global
Baseline - media histÃ³rica global,baseline,PUENTE ARANDA,2024,2,485,15.12542038655303,11.544158034427008,3.5812623521260214,3.5812623521260214,media_global
Baseline - media histÃ³rica global,baseline,RAFAEL URIBE URIBE,2024,2,486,11.28338404719874,11.544158034427008,-0.2607739872282675,0.2607739872282675,media_global
Baseline - media histÃ³rica global,baseline,SAN CRISTOBAL,2024,2,487,10.96461743103348,11.544158034427008,-0.5795406033935286,0.5795406033935286,media_global
Baseline - media histÃ³rica global,baseline,SANTA FE,2024,2,488,10.92882072977261,11.544158034427008,-0.615337304654398,0.615337304654398,media_global
Baseline - media histÃ³rica global,baseline,SUBA,2024,2,489,9.902885856283808,11.544158034427008,-1.6412721781432005,1.6412721781432005,media_global
Baseline - media histÃ³rica global,baseline,TEUSAQUILLO,2024,2,490,10.09315592024842,11.544158034427008,-1.4510021141785892,1.4510021141785892,media_global
Baseline - media histÃ³rica global,baseline,TUNJUELITO,2024,2,491,14.00760153677278,11.544158034427008,2.463443502345772,2.463443502345772,media_global
Baseline - media histÃ³rica global,baseline,USAQUEN,2024,2,492,10.4762190892342,11.544158034427008,-1.0679389451928074,1.0679389451928074,media_global
Baseline - media histÃ³rica global,baseline,USME,2024,2,493,10.2714043330723,11.544158034427008,-1.2727537013547074,1.2727537013547074,media_global
Baseline - media histÃ³rica global,baseline,ANTONIO NARINO,2024,3,494,10.69389825506327,11.544158034427008,-0.8502597793637374,0.8502597793637374,media_global
Baseline - media histÃ³rica global,baseline,BARRIOS UNIDOS,2024,3,495,11.02788996142492,11.544158034427008,-0.5162680730020881,0.5162680730020881,media_global
Baseline - media histÃ³rica global,baseline,BOSA,2024,3,496,9.598112473466491,11.544158034427008,-1.946045560960517,1.946045560960517,media_global
Baseline - media histÃ³rica global,baseline,CHAPINERO,2024,3,497,11.40855222784479,11.544158034427008,-0.13560580658221788,0.13560580658221788,media_global
Baseline - media histÃ³rica global,baseline,CIUDAD BOLIVAR,2024,3,498,10.95554630332417,11.544158034427008,-0.5886117311028389,0.5886117311028389,media_global
Baseline - media histÃ³rica global,baseline,ENGATIVA,2024,3,499,10.21859162616628,11.544158034427008,-1.3255664082607286,1.3255664082607286,media_global
Baseline - media histÃ³rica global,baseline,FONTIBON,2024,3,500,12.81182344484594,11.544158034427008,1.2676654104189318,1.2676654104189318,media_global
Baseline - media histÃ³rica global,baseline,KENNEDY,2024,3,501,10.389192950878,11.544158034427008,-1.1549650835490084,1.1549650835490084,media_global
Baseline - media histÃ³rica global,baseline,LA CANDELARIA,2024,3,502,16.73342047330765,11.544158034427008,5.189262438880641,5.189262438880641,media_global
Baseline - media histÃ³rica global,baseline,LOS MARTIRES,2024,3,503,11.13734085065518,11.544158034427008,-0.4068171837718282,0.4068171837718282,media_global
Baseline - media histÃ³rica global,baseline,PUENTE ARANDA,2024,3,504,15.21598083314425,11.544158034427008,3.6718227987172423,3.6718227987172423,media_global
Baseline - media histÃ³rica global,baseline,RAFAEL URIBE URIBE,2024,3,505,11.13446700214009,11.544158034427008,-0.4096910322869185,0.4096910322869185,media_global
Baseline - media histÃ³rica global,baseline,SAN CRISTOBAL,2024,3,506,10.68659660618086,11.544158034427008,-0.8575614282461483,0.8575614282461483,media_global
Baseline - media histÃ³rica global,baseline,SANTA FE,2024,3,507,11.19215328949106,11.544158034427008,-0.35200474493594847,0.35200474493594847,media_global
Baseline - media histÃ³rica global,baseline,SUBA,2024,3,508,9.985130365416557,11.544158034427008,-1.559027669010451,1.559027669010451,media_global
Baseline - media histÃ³rica global,baseline,TEUSAQUILLO,2024,3,509,10.53746793568915,11.544158034427008,-1.0066900987378578,1.0066900987378578,media_global
Baseline - media histÃ³rica global,baseline,TUNJUELITO,2024,3,510,13.98157029323102,11.544158034427008,2.4374122588040112,2.4374122588040112,media_global
Baseline - media histÃ³rica global,baseline,USAQUEN,2024,3,511,10.24685452017917,11.544158034427008,-1.2973035142478384,1.2973035142478384,media_global
